PARTICIPANT_ID	TEST_SECTION_ID	PRESS_TIME	RELEASE_TIME	LETTER
2	2	1642370228.846188	1642370230.6852837	a
2	2	1642370229.3522074	1642370239.782331	a
2	2	1642370230.710212	1642370230.8064196	b
2	2	1642370230.8701262	1642370230.9663684	c
2	2	1642370231.0461223	1642370231.141852	d
2	2	1642370231.2700062	1642370231.4463766	e
2	2	1642370231.4140325	1642370231.5497868	f
2	2	1642370231.638078	1642370231.7421525	g
2	2	1642370231.8222277	1642370231.9261193	h
2	2	1642370231.9823782	1642370232.101332	i
2	2	1642370232.0779939	1642370232.1899226	j
2	2	1642370232.2779262	1642370232.4221857	k
2	2	1642370232.3741899	1642370232.5022454	l
2	2	1642370232.5498588	1642370232.6623595	m
2	2	1642370232.6941707	1642370232.7903461	n
2	2	1642370232.806294	1642370232.894193	o
2	2	1642370232.9741395	1642370233.0539682	p
2	2	1642370233.1339998	1642370233.2781074	q
2	2	1642370233.2620957	1642370233.3897598	r
2	2	1642370233.453748	1642370233.622229	s
2	2	1642370233.5982788	1642370233.7422447	t
2	2	1642370233.7660856	1642370233.894221	u
2	2	1642370233.910127	1642370234.053823	v
2	2	1642370236.006008	1642370236.1022615	w
2	2	1642370236.4062493	1642370236.526051	x
2	2	1642370236.4939973	1642370236.622254	y
2	2	1642370236.6300876	1642370236.7660725	z
2	2	1642370237.4382908	1642370237.598176	w
2	2	1642370237.5579505	1642370237.662011	t
2	2	1642370237.7586908	1642370237.8864586	f
2	2	1642370237.9663928	1642370238.1024566	m
2	2	1642370238.1265454	1642370238.2464464	y
2	2	1642370238.2615037	1642370238.3745	p
2	2	1642370238.3900168	1642370238.5347223	e
2	2	1642370238.4545257	1642370238.5743887	o
2	2	1642370238.5417502	1642370238.7182202	p
2	2	1642370238.6457665	1642370238.7902272	l
2	2	1642370238.7743092	1642370238.9346533	e
2	2	1642370239.3981626	1642370239.5344417	w
2	2	1642370239.5021996	1642370239.606449	h
2	2	1642370239.7023575	1642370239.8380523	t
2	2	1642370239.822467	1642370239.9346027	i
2	2	1642370239.9104645	1642370240.0465212	s
2	2	1642370240.0942218	1642370240.2464247	g
2	2	1642370240.1667094	1642370240.30245	o
2	2	1642370240.2225673	1642370240.3181283	i
2	2	1642370240.3904626	1642370240.4860904	n
2	2	1642370240.501893	1642370240.638564	g
2	2	1642370241.1267154	1642370241.2144299	o
PARTICIPANT_ID	TEST_SECTION_ID	PRESS_TIME	RELEASE_TIME	LETTER
2	3	1642370245.022576	1642370245.1506314	s
2	3	1642370245.0788062	1642370245.1667743	o
2	3	1642370245.1678088	1642370245.2618995	space
2	3	1642370245.2462769	1642370245.3743784	t
2	3	1642370245.302746	1642370245.4226673	h
2	3	1642370245.358651	1642370245.4542308	i
2	3	1642370245.4067144	1642370245.5348778	s
2	3	1642370245.486705	1642370245.5820258	space
2	3	1642370245.5504706	1642370245.638442	i
2	3	1642370245.6068854	1642370245.718386	s
2	3	1642370245.686721	1642370245.766126	space
2	3	1642370245.7499192	1642370245.8709455	t
2	3	1642370245.8141038	1642370245.8944585	h
2	3	1642370245.8955014	1642370246.0146704	e
2	3	1642370245.974929	1642370246.06272	space
2	3	1642370246.5187814	1642370246.7027256	s
2	3	1642370246.6387472	1642370246.7584658	e
2	3	1642370246.8786368	1642370246.9912179	c
2	3	1642370246.9267545	1642370247.070289	o
2	3	1642370246.998739	1642370241.3585691	n
2	3	1642370247.086086	1642370247.1982548	d
2	3	1642370247.174495	1642370247.2703958	space
2	3	1642370247.302322	1642370247.4464586	s
2	3	1642370247.3747294	1642370247.5107102	e
2	3	1642370247.5750442	1642370247.7346673	q
2	3	1642370247.6469026	1642370247.75881	u
2	3	1642370247.7828536	1642370247.9024465	e
2	3	1642370247.8628242	1642370247.1102421	n
2	3	1642370247.9747214	1642370248.0942364	c
2	3	1642370248.023228	1642370248.1667967	e
2	3	1642370248.0707989	1642370248.158027	.
2	3	1642370248.2309701	1642370248.3106747	space
2	3	1642370248.3745306	1642370248.4547431	i
2	3	1642370248.4788797	1642370248.5427048	space
2	3	1642370248.6145399	1642370248.6947315	h
2	3	1642370248.702715	1642370248.7909994	a
2	3	1642370248.807381	1642370248.9264662	v
2	3	1642370248.8622808	1642370248.9988668	e
2	3	1642370248.934745	1642370249.0387118	space
2	3	1642370249.1585197	1642370249.254407	b
2	3	1642370249.3107512	1642370249.422262	e
2	3	1642370249.48691	1642370249.606576	e
2	3	1642370249.5747886	1642370247.9508562	n
2	3	1642370249.638614	1642370249.742445	space
2	3	1642370249.7268162	1642370249.8780584	w
2	3	1642370249.7899036	1642370249.910806	a
2	3	1642370249.85479	1642370249.950891	i
2	3	1642370249.9829645	1642370250.08692	t
2	3	1642370250.0465102	1642370250.198913	i
2	3	1642370250.1187766	1642370249.6547916	n
2	3	1642370250.182652	1642370250.2942188	g
2	3	1642370250.278404	1642370250.39876	space
2	3	1642370250.582814	1642370250.6546285	f
2	3	1642370250.6309144	1642370250.7108228	o
2	3	1642370250.7265396	1642370250.8062685	r
2	3	1642370250.7828438	1642370250.8622684	space
2	3	1642370250.886371	1642370250.990818	t
2	3	1642370250.9421678	1642370251.0467415	h
2	3	1642370250.981935	1642370251.0867343	i
2	3	1642370251.071098	1642370251.198733	s
2	3	1642370251.2389336	1642370251.3262885	.
2	3	1642370251.4231396	1642370251.5188067	space
2	3	1642370251.5108585	1642370251.5988636	i
2	3	1642370251.614488	1642370251.687107	space
2	3	1642370251.6951537	1642370251.7747538	k
2	3	1642370251.7588208	1642370250.2228565	n
2	3	1642370251.894405	1642370252.1028502	e
2	3	1642370251.974848	1642370252.134443	w
2	3	1642370252.4948816	1642370252.582899	space
PARTICIPANT_ID	TEST_SECTION_ID	PRESS_TIME	RELEASE_TIME	LETTER
2	4	1642370252.7266653	1642370252.8228705	t
2	4	1642370252.8245826	1642370252.894405	space
2	4	1642370252.9185438	1642370253.022897	w
2	4	1642370253.4471076	1642370253.590112	o
2	4	1642370253.526706	1642370253.6149325	u
2	4	1642370253.6709535	1642370253.75834	l
2	4	1642370253.7429192	1642370253.87102	d
2	4	1642370253.8464909	1642370253.919189	space
2	4	1642370254.326579	1642370254.4311426	c
2	4	1642370254.3668292	1642370254.447001	o
2	4	1642370254.4951093	1642370254.5745304	m
2	4	1642370254.5265615	1642370254.6391037	e
2	4	1642370254.5989523	1642370254.6952827	space
2	4	1642370254.702828	1642370254.8070543	t
2	4	1642370254.750634	1642370254.8390367	o
2	4	1642370254.8229818	1642370254.9029253	space
2	4	1642370254.88672	1642370254.9987655	t
2	4	1642370254.9350913	1642370255.0464284	h
2	4	1642370254.982974	1642370252.7030287	i
2	4	1642370255.0544174	1642370255.182942	s
2	4	1642370255.7107916	1642370255.7912514	.
2	4	1642370255.8149858	1642370255.8950331	space
2	4	1642370256.0631535	1642370256.190771	w
2	4	1642370256.1590402	1642370256.2550912	h
2	4	1642370256.262955	1642370256.3992653	a
2	4	1642370256.3349872	1642370256.4550529	t
2	4	1642370256.4306552	1642370256.5110388	space
2	4	1642370256.5747797	1642370256.6789076	d
2	4	1642370256.622666	1642370256.7031417	o
2	4	1642370256.6797364	1642370256.7827713	space
2	4	1642370256.774752	1642370256.8867848	y
2	4	1642370256.8067834	1642370256.9111567	o
2	4	1642370256.8627841	1642370256.9342191	u
2	4	1642370256.9352198	1642370257.0062556	space
2	4	1642370257.0142028	1642370257.08622	h
2	4	1642370257.0542223	1642370257.1422608	a
2	4	1642370257.1662638	1642370257.2627032	v
2	4	1642370257.2142918	1642370257.3344395	e
2	4	1642370257.303059	1642370257.3912818	space
2	4	1642370257.3746967	1642370257.4948196	t
2	4	1642370257.438535	1642370257.5350957	o
2	4	1642370257.5111637	1642370257.6071606	space
2	4	1642370257.5912406	1642370257.743019	s
2	4	1642370257.6464918	1642370257.791192	a
2	4	1642370257.7189236	1642370257.792173	y
2	4	1642370257.7993572	1642370257.8630705	space
2	4	1642370257.8867295	1642370257.9827561	f
2	4	1642370257.9910789	1642370258.0553064	o
2	4	1642370258.0635042	1642370258.1502793	r
2	4	1642370258.1346765	1642370258.1990786	space
2	4	1642370258.2627108	1642370258.3669999	y
2	4	1642370258.294473	1642370258.414999	o
2	4	1642370258.3510396	1642370258.4388938	u
2	4	1642370258.4310892	1642370258.5834162	s
2	4	1642370258.48712	1642370258.6791215	e
2	4	1642370258.5504837	1642370258.680124	r
2	4	1642370258.6715646	1642370258.7750878	l
2	4	1642370258.7584205	1642370258.8626554	f
2	4	1642370258.9428172	1642370259.1671476	shift
2	4	1642370259.023182	1642370259.0941675	?
2	4	1642370260.5984855	1642370260.6869938	space
2	4	1642370261.3428001	1642370261.4714222	d
2	4	1642370261.4153786	1642370261.4951313	o
2	4	1642370261.5027063	1642370261.5827243	space
2	4	1642370261.6466262	1642370261.7751153	y
2	4	1642370261.671283	1642370261.8069358	o
2	4	1642370261.7422097	1642370261.831379	u
2	4	1642370261.8231847	1642370261.903022	space
2	4	1642370261.9190993	1642370261.9992154	k
PARTICIPANT_ID	TEST_SECTION_ID	PRESS_TIME	RELEASE_TIME	LETTER
2	5	1642370262.0630064	1642370262.158712	o
2	5	1642370262.1192818	1642370262.238847	w
2	5	1642370262.2070239	1642370262.303411	space
2	5	1642370262.311506	1642370262.4311147	w
2	5	1642370262.4069154	1642370262.5182478	h
2	5	1642370262.4392738	1642370262.5510836	o
2	5	1642370262.7666023	1642370262.8631957	space
2	5	1642370262.9596708	1642370263.1035595	y
2	5	1642370263.0232873	1642370263.151195	o
2	5	1642370263.0875459	1642370263.1833942	u
2	5	1642370263.1841393	1642370263.2553697	space
2	5	1642370263.3187943	1642370263.4550278	a
2	5	1642370263.4231856	1642370263.567325	r
2	5	1642370263.4952204	1642370263.631259	e
2	5	1642370263.6790812	1642370263.8870664	shift
2	5	1642370263.7423906	1642370263.815129	?
2	5	1642370264.0153887	1642370264.1115916	space
2	5	1642370264.2071187	1642370264.335019	d
2	5	1642370264.2713218	1642370264.3513086	o
2	5	1642370264.463719	1642370264.5750823	space
2	5	1642370264.598916	1642370264.7435362	y
2	5	1642370264.6634848	1642370264.7913806	o
2	5	1642370264.734873	1642370264.8151975	u
2	5	1642370264.8392162	1642370264.903167	space
2	5	1642370264.9354906	1642370264.9991622	k
2	5	1642370265.0393088	1642370262.039479	n
2	5	1642370265.10333	1642370265.191098	o
2	5	1642370265.1831007	1642370265.3192139	w
2	5	1642370265.2948036	1642370265.399058	space
2	5	1642370265.9355059	1642370266.039638	w
2	5	1642370266.095548	1642370266.1993585	h
2	5	1642370266.1587667	1642370266.2555275	o
2	5	1642370266.2712076	1642370266.351403	space
2	5	1642370266.375236	1642370266.4951231	y
2	5	1642370266.3915331	1642370266.5351562	o
2	5	1642370266.4555724	1642370266.551378	u
2	5	1642370266.5667596	1642370266.6470046	space
2	5	1642370266.6393094	1642370266.7673383	m
2	5	1642370266.774701	1642370266.8630326	u
2	5	1642370266.8069293	1642370266.9515564	s
2	5	1642370266.8955433	1642370266.9833655	t
2	5	1642370266.9590952	1642370267.0310323	space
2	5	1642370267.2151713	1642370267.3193543	e
2	5	1642370267.4635932	1642370267.5515964	backspace
2	5	1642370267.5433402	1642370267.6312397	b
2	5	1642370267.7027876	1642370267.815014	e
2	5	1642370267.863506	1642370267.9833033	c
2	5	1642370267.95135	1642370268.1032078	o
2	5	1642370268.0069075	1642370268.118747	m
2	5	1642370268.0795178	1642370268.183005	e
2	5	1642370268.2471795	1642370268.4392557	shift
2	5	1642370268.311042	1642370268.3757129	?
2	5	1642370268.615611	1642370268.6955285	space
2	5	1642370268.7194088	1642370268.8234842	w
2	5	1642370268.807572	1642370268.8956113	h
2	5	1642370268.8633423	1642370268.991103	a
2	5	1642370268.9120343	1642370269.0390887	t
