PARTICIPANT_ID	TEST_SECTION_ID	HOLD_LATENCY	INTERKEY_LATENCY	PRESS_LATENCY	RELEASE_LATENCY
7545	81189	0.405	0.0	0.0	0.0
7545	81189	0.312	0.359	0.046	0.047
7545	81189	0.154	0.076	0.236	0.078
7545	81189	0.161	0.925	1.079	1.086
7545	81189	0.11	0.062	0.223	0.172
7545	81189	0.153	0.156	0.266	0.309
7545	81189	0.147	2.032	2.185	2.179
7545	81189	0.103	0.218	0.365	0.321
7545	81189	0.113	0.205	0.308	0.318
7545	81189	0.11	0.392	0.505	0.502
7545	81189	0.127	0.156	0.266	0.283
7545	81189	0.121	0.848	0.975	0.969
7545	81189	0.141	0.126	0.247	0.267
7545	81189	0.12	0.457	0.598	0.577
7545	81189	0.106	0.207	0.327	0.313
7545	81189	0.118	0.188	0.294	0.306
7545	81189	0.145	0.314	0.432	0.459
7545	81189	0.11	0.246	0.391	0.356
7545	81189	0.113	0.437	0.547	0.55
7545	81189	0.119	0.25	0.363	0.369
7545	81189	0.138	0.227	0.346	0.365
7545	81189	0.124	0.63	0.768	0.754
7545	81189	0.102	0.203	0.327	0.305
7545	81189	0.129	0.452	0.554	0.581
7545	81189	0.156	0.094	0.223	0.25
7545	81189	0.127	0.344	0.5	0.471
7545	81189	0.112	0.557	0.684	0.669
7545	81189	0.098	0.405	0.517	0.503
7545	81189	0.126	0.407	0.505	0.533
7545	81189	0.109	0.109	0.235	0.218
7545	81189	0.115	0.638	0.747	0.753
7545	81189	0.111	0.407	0.522	0.518
7545	81189	0.126	0.692	0.803	0.818
7545	81189	0.121	0.251	0.377	0.372
7545	81189	0.118	0.349	0.47	0.467
7545	81189	0.104	0.43	0.548	0.534
7545	81189	0.144	0.473	0.577	0.617
7545	81189	0.116	1.008	1.152	1.124
7545	81189	0.144	0.204	0.32	0.348
7545	81189	0.136	0.267	0.411	0.403
7545	81189	0.148	0.281	0.417	0.429
7545	81189	0.127	0.199	0.347	0.326
7545	81189	0.109	0.358	0.485	0.467
7545	81189	0.106	0.14	0.249	0.246
7545	81189	0.104	0.587	0.693	0.691
7545	81189	0.113	0.253	0.357	0.366
7545	81189	0.134	0.166	0.279	0.3
7545	81189	0.112	0.36	0.494	0.472
7545	81189	0.118	1.054	1.166	1.172
7545	81189	0.108	0.062	0.18	0.17
7545	81189	0.105	1.882	1.99	1.987
7545	81189	0.126	0.156	0.261	0.282
7545	81189	0.148	0.203	0.329	0.351
7545	81189	0.13	0.722	0.87	0.852
7545	81189	0.118	0.568	0.698	0.686
7545	81189	0.116	0.437	0.555	0.553
7545	81189	0.139	0.662	0.778	0.801
7545	81189	0.129	0.707	0.846	0.836
7545	81189	0.087	0.535	0.664	0.622
7545	81189	0.097	0.942	1.029	1.039
7545	81189	0.096	0.487	0.584	0.583
7545	81189	0.0	0.0	0.0	0.0
