PARTICIPANT_ID	TEST_SECTION_ID	HOLD_LATENCY	INTERKEY_LATENCY	PRESS_LATENCY	RELEASE_LATENCY
9365	100160	0.562	0.0	0.0	0.0
9365	100160	0.064	0.095	0.467	0.031
9365	100160	0.083	0.281	0.345	0.364
9365	100160	0.133	0.047	0.13	0.18
9365	100160	0.071	0.266	0.399	0.337
9365	100160	0.17	0.047	0.118	0.217
9365	100160	0.118	0.053	0.117	0.065
9365	100160	0.166	0.046	0.164	0.212
9365	100160	0.102	0.031	0.135	0.071
9365	100160	0.103	0.065	0.167	0.168
9365	100160	0.098	0.0	0.103	0.098
9365	100160	0.087	0.047	0.145	0.134
9365	100160	0.069	0.066	0.153	0.135
9365	100160	0.076	0.141	0.21	0.217
9365	100160	0.093	0.14	0.216	0.233
9365	100160	0.056	0.047	0.14	0.103
9365	100160	0.082	0.031	0.087	0.113
9365	100160	0.119	0.096	0.178	0.215
9365	100160	0.055	0.016	0.135	0.071
9365	100160	0.117	0.031	0.086	0.148
9365	100160	0.101	0.031	0.148	0.132
9365	100160	0.087	0.047	0.148	0.134
9365	100160	0.074	0.016	0.103	0.09
9365	100160	0.081	0.047	0.121	0.128
9365	100160	0.061	0.058	0.139	0.119
9365	100160	0.067	0.031	0.092	0.098
9365	100160	0.089	0.11	0.177	0.199
9365	100160	0.086	0.064	0.153	0.15
9365	100160	0.126	0.188	0.274	0.314
9365	100160	0.085	0.015	0.111	0.07
9365	100160	0.072	0.031	0.116	0.103
9365	100160	0.102	0.046	0.118	0.148
9365	100160	0.101	0.048	0.15	0.149
9365	100160	0.119	0.095	0.196	0.214
9365	100160	0.068	0.015	0.104	0.053
9365	100160	0.092	0.19	0.258	0.282
9365	100160	0.053	0.266	0.358	0.319
9365	100160	0.046	0.156	0.209	0.202
9365	100160	0.082	0.25	0.296	0.332
9365	100160	0.069	0.032	0.114	0.101
9365	100160	0.086	0.078	0.147	0.164
9365	100160	0.124	0.078	0.164	0.202
9365	100160	0.082	0.066	0.058	0.016
9365	100160	0.161	0.016	0.098	0.177
9365	100160	0.093	0.078	0.239	0.171
9365	100160	0.07	0.032	0.125	0.102
9365	100160	0.139	0.031	0.101	0.17
9365	100160	0.096	0.033	0.106	0.063
9365	100160	0.069	0.047	0.143	0.116
9365	100160	0.189	0.094	0.163	0.283
9365	100160	0.08	0.111	0.078	0.031
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100160	0.0	0.0	0.0	0.0
9365	100173	0.452	0.0	0.0	0.0
9365	100173	0.108	0.093	0.359	0.015
9365	100173	0.138	0.094	0.202	0.232
9365	100173	0.096	0.016	0.122	0.08
9365	100173	0.108	0.031	0.127	0.139
9365	100173	0.103	0.047	0.155	0.15
9365	100173	0.071	0.015	0.118	0.086
9365	100173	0.117	0.063	0.134	0.18
9365	100173	0.23	0.112	0.229	0.342
9365	100173	0.125	0.14	0.09	0.015
9365	100173	0.076	0.125	0.25	0.201
9365	100173	0.081	0.493	0.569	0.574
9365	100173	0.069	0.016	0.097	0.085
9365	100173	0.182	0.016	0.085	0.198
9365	100173	0.073	0.088	0.094	0.015
9365	100173	0.16	0.124	0.197	0.284
9365	100173	0.084	0.053	0.107	0.031
9365	100173	0.072	0.047	0.131	0.119
9365	100173	0.1	0.031	0.103	0.131
9365	100173	0.073	0.079	0.179	0.152
9365	100173	0.053	0.031	0.104	0.084
9365	100173	0.133	0.031	0.084	0.164
9365	100173	0.117	0.016	0.117	0.101
9365	100173	0.096	0.093	0.21	0.189
9365	100173	0.064	0.016	0.112	0.08
9365	100173	0.087	0.062	0.126	0.149
9365	100173	0.07	0.031	0.118	0.101
9365	100173	0.183	0.016	0.086	0.199
9365	100173	0.086	0.07	0.113	0.016
9365	100173	0.061	0.174	0.26	0.235
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100173	0.0	0.0	0.0	0.0
9365	100179	0.233	0.0	0.0	0.0
9365	100179	0.077	0.077	0.156	0.0
9365	100179	0.089	0.094	0.171	0.183
9365	100179	0.114	0.016	0.073	0.098
9365	100179	0.104	0.047	0.161	0.151
9365	100179	0.071	0.047	0.151	0.118
9365	100179	0.074	0.11	0.181	0.184
9365	100179	0.101	0.031	0.105	0.132
9365	100179	0.07	0.031	0.132	0.101
9365	100179	0.07	0.047	0.117	0.117
9365	100179	0.076	0.062	0.132	0.138
9365	100179	0.096	0.015	0.091	0.111
9365	100179	0.057	0.078	0.174	0.135
9365	100179	0.086	0.046	0.103	0.132
9365	100179	0.089	0.094	0.18	0.183
9365	100179	0.053	0.0	0.089	0.053
9365	100179	0.134	0.078	0.131	0.212
9365	100179	0.085	0.0	0.134	0.085
9365	100179	0.128	0.503	0.588	0.631
9365	100179	0.09	0.047	0.175	0.137
9365	100179	0.045	0.124	0.214	0.169
9365	100179	0.119	0.032	0.077	0.151
9365	100179	0.054	0.093	0.212	0.147
9365	100179	0.12	0.096	0.15	0.216
9365	100179	0.117	0.034	0.086	0.083
9365	100179	0.041	0.046	0.163	0.087
9365	100179	0.066	0.015	0.056	0.081
9365	100179	0.037	0.296	0.362	0.333
9365	100179	0.082	0.516	0.553	0.598
9365	100179	0.089	0.063	0.145	0.152
9365	100179	0.1	0.0	0.089	0.1
9365	100179	0.069	0.031	0.131	0.1
9365	100179	0.085	0.032	0.101	0.117
9365	100179	0.115	0.25	0.335	0.365
9365	100179	0.056	0.314	0.429	0.37
9365	100179	0.127	0.172	0.228	0.299
9365	100179	0.034	0.171	0.298	0.205
9365	100179	0.041	0.109	0.143	0.15
9365	100179	0.098	0.03	0.071	0.128
9365	100179	0.16	0.109	0.207	0.269
9365	100179	0.085	0.039	0.121	0.046
9365	100179	0.036	0.297	0.382	0.333
9365	100179	0.059	0.428	0.464	0.487
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
9365	100179	0.0	0.0	0.0	0.0
