PARTICIPANT_ID	TEST_SECTION_ID	HOLD_LATENCY	INTERKEY_LATENCY	PRESS_LATENCY	RELEASE_LATENCY
12223	130083	0.256	0.0	0.0	0.0
12223	130083	0.129	0.153	0.103	0.024
12223	130083	0.137	0.111	0.24	0.248
12223	130083	0.103	0.088	0.225	0.191
12223	130083	0.073	0.024	0.127	0.097
12223	130083	0.072	0.096	0.169	0.168
12223	130083	0.104	0.072	0.144	0.176
12223	130083	0.12	0.016	0.12	0.136
12223	130083	0.088	0.016	0.136	0.104
12223	130083	0.087	0.112	0.2	0.199
12223	130083	0.08	0.041	0.128	0.121
12223	130083	0.106	0.071	0.151	0.177
12223	130083	0.111	0.0	0.106	0.111
12223	130083	0.096	0.008	0.119	0.104
12223	130083	0.094	0.015	0.081	0.079
12223	130083	0.101	0.009	0.103	0.11
12223	130083	0.113	0.019	0.12	0.132
12223	130083	0.096	0.009	0.104	0.087
12223	130083	0.144	0.064	0.16	0.208
12223	130083	0.096	0.008	0.152	0.104
12223	130083	0.096	0.056	0.152	0.152
12223	130083	0.127	0.032	0.128	0.159
12223	130083	0.12	0.049	0.176	0.169
12223	130083	0.088	0.048	0.168	0.136
12223	130083	0.08	0.112	0.2	0.192
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
12223	130083	0.0	0.0	0.0	0.0
