PARTICIPANT_ID	TEST_SECTION_ID	HOLD_LATENCY	INTERKEY_LATENCY	PRESS_LATENCY	RELEASE_LATENCY
4278	45400	0.414	0.0	0.0	0.0
4278	45400	0.084	0.189	0.225	0.105
4278	45400	0.14	0.12	0.204	0.26
4278	45400	0.147	0.021	0.119	0.126
4278	45400	0.091	0.445	0.592	0.536
4278	45400	0.15	0.03	0.121	0.18
4278	45400	0.125	0.376	0.526	0.501
4278	45400	0.09	0.0	0.125	0.09
4278	45400	0.201	0.036	0.054	0.165
4278	45400	0.147	0.1	0.101	0.047
4278	45400	0.12	0.169	0.316	0.289
4278	45400	0.116	0.02	0.1	0.096
4278	45400	0.131	0.084	0.2	0.215
4278	45400	0.09	0.347	0.478	0.437
4278	45400	0.099	0.035	0.055	0.064
4278	45400	0.102	0.016	0.115	0.118
4278	45400	0.131	0.049	0.053	0.082
4278	45400	2.307	0.212	0.343	2.519
4278	45400	0.091	2.172	0.135	2.081
4278	45400	0.147	0.039	0.13	0.186
4278	45400	0.116	0.309	0.456	0.425
4278	45400	0.116	0.236	0.352	0.352
4278	45400	0.089	0.324	0.44	0.413
4278	45400	0.053	0.235	0.324	0.288
4278	45400	0.161	0.534	0.587	0.695
4278	45400	0.162	0.2	0.361	0.362
4278	45400	0.122	0.091	0.071	0.031
4278	45400	0.035	0.245	0.367	0.28
4278	45400	0.09	0.31	0.345	0.4
4278	45400	0.1	0.06	0.15	0.16
4278	45400	0.069	0.069	0.169	0.138
4278	45400	0.168	0.032	0.101	0.2
4278	45400	0.153	0.0	0.168	0.153
4278	45400	0.084	0.037	0.116	0.047
4278	45400	0.145	0.149	0.233	0.294
4278	45400	0.211	0.27	0.415	0.481
4278	45400	0.12	0.017	0.194	0.103
4278	45400	0.112	0.172	0.292	0.284
4278	45400	0.136	0.104	0.216	0.24
4278	45400	0.227	0.036	0.1	0.191
4278	45400	0.146	0.027	0.2	0.119
4278	45400	0.116	0.069	0.215	0.185
4278	45400	0.138	0.6	0.716	0.738
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45400	0.0	0.0	0.0	0.0
4278	45425	0.264	0.0	0.0	0.0
4278	45425	0.132	0.132	0.132	0.0
4278	45425	0.2	0.221	0.353	0.421
4278	45425	0.138	0.038	0.162	0.1
4278	45425	0.1	0.031	0.169	0.131
4278	45425	0.116	0.016	0.116	0.132
4278	45425	0.103	0.1	0.216	0.203
4278	45425	0.135	0.05	0.053	0.085
4278	45425	0.122	0.041	0.094	0.081
4278	45425	0.102	0.063	0.185	0.165
4278	45425	0.131	0.0	0.102	0.131
4278	45425	0.134	0.076	0.207	0.21
4278	45425	0.102	0.027	0.107	0.075
4278	45425	0.104	0.097	0.199	0.201
4278	45425	0.156	0.079	0.183	0.235
4278	45425	0.172	0.115	0.041	0.057
4278	45425	0.144	0.0	0.172	0.144
4278	45425	0.137	0.037	0.107	0.1
4278	45425	0.087	0.037	0.1	0.05
4278	45425	0.103	0.034	0.053	0.069
4278	45425	0.084	0.427	0.53	0.511
4278	45425	0.059	0.228	0.312	0.287
4278	45425	0.075	0.095	0.154	0.17
4278	45425	0.103	0.073	0.148	0.176
4278	45425	0.129	0.046	0.149	0.175
4278	45425	0.076	0.105	0.234	0.181
4278	45425	0.115	0.197	0.273	0.312
4278	45425	0.148	0.3	0.415	0.448
4278	45425	0.101	0.016	0.164	0.117
4278	45425	0.103	0.027	0.128	0.13
4278	45425	0.119	0.014	0.089	0.105
4278	45425	0.121	0.02	0.099	0.101
4278	45425	0.103	0.047	0.168	0.15
