PARTICIPANT_ID	TEST_SECTION_ID	HOLD_LATENCY	INTERKEY_LATENCY	PRESS_LATENCY	RELEASE_LATENCY
4560	48441	0.346	0.0	0.0	0.0
4560	48441	0.144	0.096	0.25	0.048
4560	48441	0.128	0.064	0.208	0.192
4560	48441	0.112	0.048	0.08	0.064
4560	48441	0.096	0.176	0.288	0.272
4560	48441	0.112	0.016	0.08	0.096
4560	48441	0.096	0.032	0.08	0.064
4560	48441	0.08	0.128	0.224	0.208
4560	48441	0.096	0.0	0.08	0.096
4560	48441	0.128	0.064	0.16	0.192
4560	48441	0.128	0.368	0.496	0.496
4560	48441	0.128	0.208	0.336	0.336
4560	48441	0.112	0.016	0.144	0.128
4560	48441	0.048	0.272	0.384	0.32
4560	48441	0.096	0.0	0.048	0.096
4560	48441	0.064	0.0	0.096	0.064
4560	48441	0.08	0.064	0.128	0.144
4560	48441	0.128	0.032	0.048	0.096
4560	48441	0.128	0.064	0.064	0.064
4560	48441	0.08	0.176	0.304	0.256
4560	48441	0.08	0.016	0.096	0.096
4560	48441	0.112	0.064	0.144	0.176
4560	48441	0.096	0.096	0.208	0.192
4560	48441	0.112	0.736	0.832	0.848
4560	48441	0.08	0.032	0.08	0.048
4560	48441	0.16	0.096	0.176	0.256
4560	48441	0.096	0.048	0.112	0.048
4560	48441	0.128	0.016	0.08	0.112
4560	48441	0.128	0.016	0.144	0.144
4560	48441	0.048	0.0	0.128	0.048
4560	48441	0.048	0.112	0.16	0.16
4560	48441	0.08	0.08	0.128	0.16
4560	48441	0.112	0.032	0.112	0.144
4560	48441	0.08	0.368	0.48	0.448
4560	48441	0.048	0.224	0.304	0.272
4560	48441	0.08	0.096	0.144	0.176
4560	48441	0.112	0.064	0.144	0.176
4560	48441	0.096	0.032	0.08	0.064
4560	48441	0.048	0.048	0.144	0.096
4560	48441	0.096	0.032	0.08	0.128
4560	48441	0.128	0.048	0.048	0.08
4560	48441	0.112	0.128	0.256	0.24
4560	48441	0.096	0.016	0.128	0.112
4560	48441	0.128	0.096	0.192	0.224
4560	48441	0.112	0.048	0.08	0.064
4560	48441	0.112	0.24	0.352	0.352
4560	48441	0.129	0.015	0.127	0.144
4560	48441	0.112	0.0	0.129	0.112
4560	48441	0.112	0.064	0.048	0.048
4560	48441	0.112	0.88	0.992	0.992
4560	48441	0.111	0.048	0.064	0.063
4560	48441	0.08	0.129	0.24	0.209
4560	48441	0.096	0.064	0.144	0.16
4560	48441	0.081	0.239	0.335	0.32
4560	48441	0.063	0.048	0.129	0.111
4560	48441	0.08	0.048	0.111	0.128
4560	48441	0.08	0.065	0.145	0.145
4560	48441	0.095	0.0	0.08	0.095
4560	48441	0.143	0.065	0.16	0.208
4560	48441	0.113	0.048	0.095	0.065
